0.99999654,0.08998163,3.0883663,1.1427243,0.83216774,0.80995595,0.8641821,0.9589282,1.0876528,1.248706
0.070955604,0.07861154,8.132634,1.2334473,1.0494702,1.1106796,1.2633879,1.4869553,1.7872406,2.1781602
0.068086654,0.12818511,4.670165,1.5411804,1.4638896,1.6594579,2.0126078,2.526509,3.2071848,3.972768
0.059885483,0.28593862,3.8594446,2.0135498,2.1176996,2.5934587,3.3399727,4.194412,4.6457477,4.392431
0.08725067,0.7790556,3.9030678,2.7257266,3.1526945,4.007975,4.6619053,4.442721,3.7820697,3.192673
0.05999891,1.8293849,4.296826,3.7207415,4.420603,4.7216177,4.107121,3.3652644,2.8219466,2.4498882
0.080044,3.060159,4.8163614,4.6980805,4.73389,3.9414153,3.1561131,2.6250398,2.2755136,2.0363584
0.099627465,4.0962467,5.1717386,4.8533335,3.9858675,3.1149778,2.5475514,2.1887589,1.9505104,1.783732
0.13469826,4.7120624,5.107636,4.247417,3.238844,2.5735428,2.170721,1.9142299,1.7403619,1.6161628
0.9856281,4.9198923,4.684126,3.567621,2.7191896,2.2223103,1.9228098,1.7289087,1.5950912,1.498003
